,id,kode_sarana,kode_sarana_lama,id_kartu,id_jenis,id_sub_jenis,seri,tahun_dinas,id_daops,id_depo,status,negara_asal,tgl_uji_pertama,tgl_masa_uji,tgl_masa_perawatan,pabrikan,id_pemilik,created_at,last_update,NOMOR_IDENTITAS,DAOP,DEPO,JENIS,TAHUN,NAMA_DAOP2,NAMA_DEPO,KODE_DEPO
12379,,,,,,,,,,,,,,,,,,,,K118934,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12380,,,,,,,,,,,,,,,,,,,,K118930,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12381,,,,,,,,,,,,,,,,,,,,K118936,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12382,,,,,,,,,,,,,,,,,,,,K118937,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12383,,,,,,,,,,,,,,,,,,,,K118942,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12384,,,,,,,,,,,,,,,,,,,,K118944,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12385,,,,,,,,,,,,,,,,,,,,K118945,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12386,,,,,,,,,,,,,,,,,,,,K118946,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12387,,,,,,,,,,,,,,,,,,,,K118924,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12388,,,,,,,,,,,,,,,,,,,,K118923,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12389,,,,,,,,,,,,,,,,,,,,K118922,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12390,,,,,,,,,,,,,,,,,,,,K118921,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12391,,,,,,,,,,,,,,,,,,,,K118920,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12392,,,,,,,,,,,,,,,,,,,,K118919,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12393,,,,,,,,,,,,,,,,,,,,K118918,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12394,,,,,,,,,,,,,,,,,,,,K118917,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12395,,,,,,,,,,,,,,,,,,,,K118925,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12396,,,,,,,,,,,,,,,,,,,,K118926,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12397,,,,,,,,,,,,,,,,,,,,K118927,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12398,,,,,,,,,,,,,,,,,,,,K118928,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12399,,,,,,,,,,,,,,,,,,,,K118929,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12400,,,,,,,,,,,,,,,,,,,,K118935,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12401,,,,,,,,,,,,,,,,,,,,K118931,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12402,,,,,,,,,,,,,,,,,,,,K118932,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12403,,,,,,,,,,,,,,,,,,,,K118902,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12404,,,,,,,,,,,,,,,,,,,,K118910,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12405,,,,,,,,,,,,,,,,,,,,K118901,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12406,,,,,,,,,,,,,,,,,,,,K118903,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12407,,,,,,,,,,,,,,,,,,,,K118904,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12408,,,,,,,,,,,,,,,,,,,,K118905,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12409,,,,,,,,,,,,,,,,,,,,K118911,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12410,,,,,,,,,,,,,,,,,,,,K118912,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12411,,,,,,,,,,,,,,,,,,,,K118913,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12412,,,,,,,,,,,,,,,,,,,,K118906,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12413,,,,,,,,,,,,,,,,,,,,K118907,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12414,,,,,,,,,,,,,,,,,,,,K118908,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12415,,,,,,,,,,,,,,,,,,,,K118957,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12416,,,,,,,,,,,,,,,,,,,,K118958,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12417,,,,,,,,,,,,,,,,,,,,K118959,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12418,,,,,,,,,,,,,,,,,,,,K118960,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12419,,,,,,,,,,,,,,,,,,,,K118961,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12420,,,,,,,,,,,,,,,,,,,,K118962,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12421,,,,,,,,,,,,,,,,,,,,K118963,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12422,,,,,,,,,,,,,,,,,,,,K118964,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12423,,,,,,,,,,,,,,,,,,,,K118916,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12424,,,,,,,,,,,,,,,,,,,,K118909,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12425,,,,,,,,,,,,,,,,,,,,K118915,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12426,,,,,,,,,,,,,,,,,,,,K118914,DAOP 1 JAK,BOGOR,2.0,89.0,7.0,DEPO KRL BOGOR,42.0
12427,,,,,,,,,,,,,,,,,,,,SK38208,DAOP 8,DEPO LOKOMOTIF SIDOTOPO,9.0,82.0,14.0,DEPO LOKOMOTIF SIDOTOPO,
